"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3665","0.3967","0.4035","0.4049","0.3782","0.4106","0.4267","0.419","0.4137","0.4374","0.4867","0.4744","0.3932","0.3418","0.3761","0.381","0.3807","0.3773","0.3925","0.4035","0.4276","0.5584","0.6112","0.7065","",""
"Selling, General and Administrative Expense of Revenue","0.6297","0.6505","0.6487","0.5891","0.6036","0.5938","0.7832","0.5639","0.5827","0.5234","0.5174","0.5508","0.4923","0.452","0.6338","0.4784","0.4372","0.4435","0.5203","0.4123","0.4184","0.4553","0.518","0.3846","0.3582","0.3511"
"Research and Development Expense of Revenue","0.1509","0.1586","0.1835","0.1473","0.1611","0.1733","0.178","0.1301","0.1235","0.135","0.1597","0.1299","0.1269","0.1352","0.169","0.1333","0.1296","0.1261","0.1419","0.1106","0.1094","0.0971","0.1178","0.0816","0.0791","0.0877"
"Working Capital","559000000.0","551000000.0","527000000.0","516000000.0","532000000.0","532000000.0","553000000.0","587000000.0","490000000.0","442000000.0","356000000.0","375000000.0","469000000.0","352000000.0","387000000.0","390941000.0","370173000.0","409371000.0","436854000.0","522058000.0","460577000.0","197905000.0","151792000.0","34112000.0","",""
"Tangible Asset Value","1566000000.0","1372000000.0","1335000000.0","1355000000.0","1483000000.0","1305000000.0","1220000000.0","1277000000.0","1335000000.0","1178000000.0","1000000000.0","1028000000.0","1111000000.0","1063000000.0","919000000.0","896460000.0","901448000.0","835499000.0","789320000.0","751199000.0","679629000.0","403840000.0","324964000.0","212185000.0","",""
"Net Current Asset Value","62000000.0","113000000.0","214000000.0","269000000.0","227000000.0","214000000.0","149000000.0","71000000.0","-24000000.0","-21000000.0","-86000000.0","-78000000.0","50000000.0","-26000000.0","22000000.0","28405000.0","7846000.0","42408000.0","60268000.0","143589000.0","70136000.0","-204397000.0","-260164000.0","-6456000.0","",""
"Invested Capital","325000000.0","406000000.0","471000000.0","390000000.0","234000000.0","331000000.0","495000000.0","642000000.0","518000000.0","551000000.0","501000000.0","466000000.0","491000000.0","812000000.0","693000000.0","739468000.0","844724000.0","840488000.0","638310000.0","439785000.0","445905000.0","452426000.0","441636000.0","-21858000.0","",""
"Average Receivables","241000000.0","238000000.0","184500000.0","222500000.0","236500000.0","236500000.0","165500000.0","202000000.0","214000000.0","190000000.0","132000000.0","182713000.0","179110000.0","151125500.0","109215000.0","160527500.0","155125500.0","141646500.0","93723500.0","93389500.0","","","","","",""
"Average Payables","332000000.0","212000000.0","128500000.0","161000000.0","296500000.0","184000000.0","113500000.0","146000000.0","208000000.0","124000000.0","76000000.0","86790500.0","88202000.0","42379000.0","27049500.0","30501000.0","34404500.0","17282000.0","10001000.0","23024500.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
